DESGLOSE DE PRESUPUESTO;;;;;TIPO DE CAMBIO:;610;;
N;DESCRIPCCION;CANTIDAD;UNIDAD;PRECIO UNITARIO;TOTAL (COLONES);TOTAL (DOLARES);;
FUNDACIONES;;;;;;;;
ENTREPISO 1ER NIVEL;;334;m2;?102.174,77;;$16.768,00;;
CONCRETO  210KG/CM2;CEMENTO;336;sacos;?6.769,91;?2.274.689,76;$3.729,00;;
48 m3 en total;ARENA;23,5;m3;?22.566,37;?530.309,70;$869,36;;
;PIEDRA;42,7;m3;?22.566,37;?963.584,00;$1.579,65;;
;FORMALETA (piezas de 3,6m x 0,3);18;un;?6.272,12;?112.898,16;$185,08;;
;MALLA ELECTROSOLDADA ? 5.3 mm (malla de 2,5x6m);37;un;?31.000,00;?1.147.000,00;$1.880,33;;
;LOSACERO CALIBRE 20 (2.44x6);400;m2;?13.000,00;?5.200.000,00;$8.524,59;;
ENTREPISO NIVEL SUPERIOR;;483;m2;?102.174,77;;$19.180,79;;
CONCRETO  210KG/CM2;CEMENTO;427;sacos;?6.769,91;?2.890.751,57;$4.738,94;;
61 m3 en total;ARENA;29,9;m3;?22.566,37;?674.734,46;$1.106,12;;
;PIEDRA;54,3;m3;?22.566,37;?1.225.353,89;$2.008,78;;
;FORMALETA (piezas de 3,6m x 0,3);20;un;?6.272,12;?125.442,40;$205,64;;
;MALLA ELECTROSOLDADA ? 5.3 mm (malla de 2,5x6m);49;un;?31.000,00;?1.519.000,00;$2.490,16;;
;LOSACERO CALIBRE 20 (2.44x6);405;m2;?13.000,00;?5.265.000,00;$8.631,15;;
CONTRAPISO DE CONCRETO;;420;m2;?89.174,77;; $27.577,87 ;;
CONCRETO  210KG/CM2;CEMENTO;329;sacos;?6.769,91;?2.227.300,39; $3.651,31 ;;
47 m3 en total;ARENA;23;m3;?22.566,37;?519.026,51; $850,86 ;;
